..q..,1459,198541,579342638
^.q.,182,199818,72733752
.qz$,0,200000,0
..qz.,0,200000,0
^.qz,0,200000,0
.qy$,0,200000,0
^.ra,3311,196689,1302474558
..qy.,1,199999,399998
^.qy,0,200000,0
..ra.,16130,183870,5931646200
.qy$,0,200000,0
..qy.,1,199999,399998
.ra$,3535,196465,1389007550
^.qy,0,200000,0
.qw$,0,200000,0
..qw.,0,200000,0
^.qw,0,200000,0
.qv$,0,200000,0
..qv.,12,199988,4799712
^.qv,3,199997,1199982
.qu$,1,199999,399998
..qu.,1398,198602,555291192
^.qu,175,199825,69938750
.qt$,0,200000,0
^.qt,0,200000,0
..qt.,1,199999,399998
..qq.,2,199998,799992
.qq$,0,200000,0
.qs$,0,200000,0
..qs.,0,200000,0
^.qs,0,200000,0
^.qq,0,200000,0
..qr.,0,200000,0
^.qr,2,199998,799992
.qr$,0,200000,0
.qp$,0,200000,0
..qp.,0,200000,0
^.qp,0,200000,0
.qo$,0,200000,0
..qo.,2,199998,799992
.qm$,0,200000,0
.qn$,0,200000,0
..qm.,0,200000,0
^.qo,0,200000,0
^.qn,0,200000,0
..qn.,2,199998,799992
^.qm,1,199999,399998
..qk.,0,200000,0
.ql$,0,200000,0
^.ql,0,200000,0
.qk$,0,200000,0
..ql.,0,200000,0
^.qk,0,200000,0
.qj$,0,200000,0
..qj.,0,200000,0
^.qj,0,200000,0
.qh$,0,200000,0
..qh.,0,200000,0
.qg$,0,200000,0
^.qi,0,200000,0
^.qh,0,200000,0
.qi$,4,199996,1599968
..qg.,0,200000,0
..qi.,24,199976,9598848
^.qg,0,200000,0
.qf$,0,200000,0
..qf.,0,200000,0
^.qf,0,200000,0
.qd$,0,200000,0
^.qd,0,200000,0
..qe.,6,199994,2399928
..qd.,0,200000,0
.qe$,0,200000,0
.qc$,0,200000,0
^.qe,0,200000,0
.qb$,0,200000,0
..qc.,0,200000,0
..qb.,0,200000,0
^.qc,0,200000,0
^.qb,0,200000,0
..qa.,13,199987,5199662
.qa$,5,199995,1999950
^.qa,1,199999,399998
.pz$,0,200000,0
^.pz,1,199999,399998
..pz.,6,199994,2399928
.py$,13,199987,5199662
..p..,36065,163935,11824631550
^.p.,3706,196294,1454931128
.p.$,1451,198549,576189198
^.py,25,199975,9998750
..py.,447,199553,178400382
.py$,13,199987,5199662
..py.,447,199553,178400382
^.pw,2,199998,799992
.pw$,0,200000,0
^.py,25,199975,9998750
..pw.,10,199990,3999800
.pv$,0,200000,0
^.pv,4,199996,1599968
..pv.,27,199973,10798542
..pu.,2010,197990,795919800
^.pu,100,199900,39980000
.pu$,15,199985,5999550
.pt$,19,199981,7599278
..pt.,2361,197639,933251358
^.pt,51,199949,20394798
.pq$,0,200000,0
.ps$,475,199525,189548750
..ps.,1630,198370,646686200
^.ps,62,199938,24792312
..pq.,0,200000,0
.pr$,0,200000,0
^.pq,0,200000,0
..pr.,3858,196142,1513431672
^.pr,317,199683,126599022
..pp.,1176,198824,467634048
^.pp,211,199789,84310958
.pp$,24,199976,9598848
.pn$,0,200000,0
.po$,22,199978,8799032
.pm$,0,200000,0
..pn.,310,199690,123807800
^.pn,8,199992,3199872
^.po,536,199464,213825408
..po.,5164,194836,2012266208
..pm.,43,199957,17196302
^.pm,4,199996,1599968
.pk$,0,200000,0
..pk.,86,199914,34385208
^.pk,3,199997,1199982
.pj$,0,200000,0
..pl.,2471,197529,976188318
^.pj,8,199992,3199872
^.pl,152,199848,60753792
.pl$,6,199994,2399928
..pj.,11,199989,4399758
^.pi,864,199136,344107008
.ph$,5,199995,1999950
.pi$,102,199898,40779192
..ph.,5484,194516,2133451488
..pg.,33,199967,13197822
.pf$,34,199966,13597688
..pi.,4652,195348,1817517792
^.ph,446,199554,178002168
.pg$,0,200000,0
^.pg,7,199993,2799902
^.pf,10,199990,3999800
..pf.,336,199664,134174208
.pd$,2,199998,799992
^.pd,7,199993,2799902
.pe$,159,199841,63549438
..pd.,28,199972,11198432
..pe.,4745,195255,1852969950
^.pe,413,199587,164858862
.pc$,0,200000,0
..pc.,100,199900,39980000
^.pc,4,199996,1599968
^.pb,0,200000,0
.pb$,0,200000,0
..pb.,27,199973,10798542
.oz$,11,199989,4399758
.pa$,575,199425,229338750
..oz.,1810,198190,717447800
^.oz,1135,198865,451423550
^.pa,471,199529,187956318
..pa.,4252,195748,1664640992
.oy$,26,199974,10398648
..oy.,267,199733,106657422
.oy$,26,199974,10398648
^.oy,133,199867,53164622
..oy.,267,199733,106657422
^.oy,133,199867,53164622
.ow$,314,199686,125402808
^.ow,354,199646,141349368
..ow.,6743,193257,2606263902
^.o.,23013,176987,8146003662
.o.$,7723,192277,2969910542
.ov$,35,199965,13997550
..o..,87928,112072,19708533632
..ov.,7173,192827,2766296142
^.ov,438,199562,174816312
.ou$,789,199211,314354958
..ou.,1909,198091,756311438
^.ou,768,199232,306020352
.ot$,69,199931,27590478
.oq$,0,200000,0
..oq.,71,199929,28389918
^.ot,1131,198869,449841678
..ot.,5843,194157,2268918702
^.oq,32,199968,12797952
^.os,1476,198524,586042848
..os.,10674,189326,4041731448
.os$,2013,197987,797095662
.or$,749,199251,298477998
..or.,12327,187673,4626890142
^.or,3565,196435,1400581550
..op.,8474,191526,3245982648
.op$,20,199980,7999200
^.op,829,199171,330225518
